Job ID,Job Category,Required Skills,Location Type,Experience (Years),Estimated Monthly Salary (BDT),Other Key Qualifications,Trend Ref. (Approx. Year)
1,Software Development (Legacy),"PHP, MySQL, jQuery, HTML/CSS",On-site,1-2,"25,000 - 40,000","Good problem-solving, basic English for documentation.",2015-2017
2,Software Development (Modern),"Java/Spring Boot, REST APIs, Microservices, Angular/React",On-site,3-5,"60,000 - 110,000","Strong OOD, Unit Testing, Version Control (Git).",2018-2020
3,Software Development (Current),"Python, Django/Flask, React/Vue, Cloud (AWS/Azure) Basics",Remote/Hybrid,2-4,"50,000 - 90,000","CI/CD familiarity, Agile/Scrum experience.",2021-Present
4,Data Entry/BPO,"Microsoft Office, Typing Speed (40+ WPM), Basic English",On-site,0-1,"15,000 - 22,000","Attention to detail, good work ethic.",2015-Present
5,IT Support/Helpdesk,"Windows/Linux Troubleshooting, Networking Basics, Ticketing Systems",On-site,1-3,"28,000 - 45,000","Customer service skills, CompTIA A+ or similar.",2015-Present
6,Network Engineer,"Cisco/Juniper/MikroTik, TCP/IP, Routing/Switching, Firewalls",On-site/Hybrid,4-7,"75,000 - 150,000","CCNA/CCNP certification, Strong security knowledge.",2017-Present
7,UI/UX Designer (Basic),"Adobe Photoshop/Illustrator, Basic Wireframing",On-site,1-2,"30,000 - 50,000",Portfolio of static designs.,2016-2018
8,UI/UX Designer (Current),"Figma/Sketch, Prototyping, User Research, Design Systems",Remote/Hybrid,3-6,"60,000 - 120,000","UX certification, excellent English for client communication.",2020-Present
9,Mobile App Developer (Legacy),"Native Android (Java), Basic iOS (Objective-C)",On-site,2-4,"45,000 - 80,000",Experience with Google Play/App Store submission.,2016-2019
10,Mobile App Developer (Current),"Flutter/React Native, Dart/JavaScript, Firebase, APIs",Remote/Hybrid,3-5,"70,000 - 130,000","State Management, Performance Optimization.",2020-Present
11,Cybersecurity Analyst (Entry),"Basic Security Concepts, Kali Linux, Penetration Testing Tools",On-site,1-3,"40,000 - 70,000",CEH or basic security training.,2019-Present
12,Senior Cybersecurity Engineer,"SIEM, Threat Hunting, Cloud Security (AWS/Azure), Compliance",Hybrid,6+,"150,000 - 300,000+","CISSP/CISM, experience leading incident response.",2022-Present
13,Digital Marketing Specialist (Basic),"Facebook Ads, Basic SEO, Content Writing (Bangla)",On-site,1-2,"25,000 - 40,000","Google Ads certification, social media management.",2017-2019
14,Digital Marketing Manager,"Google Analytics 4, SEM/PPC, A/B Testing, Data-Driven Strategy",Remote/Hybrid,4-7,"70,000 - 140,000","Proven ROI track record, international client handling.",2020-Present
15,DevOps Engineer,"Docker, Kubernetes, AWS/Azure/GCP, CI/CD (Jenkins/GitLab)",Hybrid,3-5,"80,000 - 160,000","Infrastructure as Code (Terraform/Ansible), scripting (Python/Shell).",2019-Present (High Demand)
16,Cloud Architect (Senior),"Multi-cloud experience, Solution Design, Cost Optimization",Remote,8+,"200,000 - 400,000+","Professional Cloud Architect certification (e.g., AWS SA Pro).",2022-Present
17,Data Analyst,"SQL, Python (Pandas/NumPy), Microsoft Excel, Basic Statistics",On-site/Hybrid,2-4,"50,000 - 90,000",Data Visualization (Tableau/Power BI).,2020-Present
18,Data Scientist/ML Engineer,"Python (Scikit-learn/TensorFlow/PyTorch), NLP/Computer Vision",Remote/Hybrid,4-7,"120,000 - 250,000+","Master's degree (preferred), experience deploying models to production.",2022-Present (Rapid Growth)
19,Project Manager (Waterfall),"MS Project, PMP (optional), Basic Software Knowledge",On-site,5-8,"80,000 - 150,000","Strong people management, documentation focus.",2015-2018
20,Scrum Master/Agile PM,"Scrum/Kanban, Jira/Trello, Stakeholder Management",Hybrid,3-6,"70,000 - 130,000","CSM/PSM certification, conflict resolution skills.",2019-Present
21,Quality Assurance (Manual),"Test Case Design, Bug Reporting (JIRA), Functional Testing",On-site,1-3,"30,000 - 55,000","Attention to detail, communication with developers.",2015-2018
22,Quality Assurance (Automation),"Selenium/Cypress, Scripting (Python/Java), API Testing (Postman)",Remote/Hybrid,3-5,"60,000 - 100,000","CI/CD integration, performance testing basics.",2019-Present
23,ERP Consultant (Mid-level),"SAP/Oracle/Dynamics knowledge, Business Process Mapping",On-site/Hybrid,4-6,"90,000 - 180,000","Module-specific certification, client-facing experience.",2017-Present
24,Technical Writer,"Excellent English writing, Documentation Tools (Confluence/GitBook)",Remote,2-4,"40,000 - 70,000",Ability to translate technical jargon into simple language.,2018-Present (Growing Remote Demand)
25,Blockchain Developer,"Solidity, Web3.js, Smart Contract Development, Cryptography",Remote,2-5,"100,000 - 200,000+","Experience with specific chains (e.g., Ethereum, BNB Chain).",2022-Present (Niche High-Pay)
26,Embedded Systems Engineer,"C/C++, Microcontrollers (Arduino/Raspberry Pi), RTOS",On-site,3-6,"60,000 - 120,000","Hardware prototyping skills, IoT protocols (MQTT).",2017-Present
27,E-commerce Manager (Local),"Shopify/WooCommerce, Inventory Management, Local Logistics",On-site,3-5,"50,000 - 90,000",Understanding of local consumer behavior.,2016-Present
28,Game Developer (Unity/Unreal),"C#/C++, Game Physics, 2D/3D Asset Integration",Hybrid,2-4,"50,000 - 100,000","Strong portfolio of games, team collaboration.",2019-Present
29,Salesforce Developer,"Apex, Lightning Web Components, SOQL, Platform Customization",Remote/Hybrid,3-5,"80,000 - 150,000",Salesforce Developer Certification.,2020-Present
30,IT Auditor/Compliance Officer,"IT Governance (COBIT, ITIL), IS Audit Standards (ISO 27001)",On-site/Hybrid,4-7,"90,000 - 160,000","CISA certification, regulatory knowledge.",2018-Present
31,Database Administrator (DBA),"SQL Server/Oracle, Performance Tuning, Backup/Recovery",On-site/Hybrid,5-8,"90,000 - 180,000","Certification (e.g., MCSA, Oracle Certified Professional), 24/7 support experience.",2015-Present
32,Full-Stack Developer (MERN/MEAN),"MongoDB, Express, React/Angular, Node.js, JavaScript/TypeScript",Remote/Hybrid,3-6,"70,000 - 140,000","State management (Redux/MobX), strong API design focus.",2019-Present (High Demand)
33,Business Analyst (Legacy),"Requirement Gathering, Documentation (BRD/SRS), Waterfall/SDLC",On-site,3-5,"55,000 - 90,000",Experience with banking or telecom sector projects.,2015-2018
34,Product Owner/Manager,"Agile Methodologies, Product Strategy, User Story Mapping, Jira",Hybrid,5-8,"100,000 - 200,000","Certified Scrum Product Owner (CSPO), market research skills.",2020-Present (High Growth)
35,Graphics Designer (Local Agency),"Adobe Illustrator/InDesign, Print Media Design (Brochures, Banners)",On-site,1-3,"20,000 - 35,000","Quick turnaround time, familiarity with local printing standards.",2015-2017
36,Motion Graphics Artist/Video Editor,"Adobe After Effects/Premiere Pro, 2D/3D Animation Basics",Remote/Hybrid,2-5,"45,000 - 80,000",Portfolio with high-quality animated content.,2018-Present
37,Senior Solutions Architect,"Enterprise Integration Patterns, TOGAF/Archimate, System Design",Hybrid,10+,"250,000 - 500,000+","Cross-functional leadership, proven track record of large-scale project delivery.",2020-Present
38,Content Moderator (BPO),"Excellent English/Multilingual Fluency, Policy Enforcement, Attention to Detail",On-site,0-2,"25,000 - 40,000","Ability to handle sensitive content, shift work flexibility.",2017-Present (ITES Sector)
39,Call Center Agent (Outbound Sales),"Strong English Communication (Accent Neutral), Sales Scripts, CRM",On-site,1-3,"30,000 - 50,000 (Plus Commission)","Target-driven, US/UK shift schedule flexibility.",2015-Present
40,AR/VR Developer,"Unity/Unreal Engine, C#/C++, 3D Modeling (Blender/Maya) Basics",Hybrid,3-6,"80,000 - 150,000","Experience with Oculus/Vive SDKs, strong mathematics.",2022-Present (Emerging Niche)
41,Embedded IoT Developer,"Python/C, AWS IoT Core/Azure IoT Hub, Sensor Integration, Security",On-site/Hybrid,4-7,"90,000 - 170,000","Hardware-Software co-design, real-time operating systems.",2019-Present
42,Sales/Account Manager (IT Services),"B2B Sales, IT Service Knowledge, Negotiation, Client Relationship Management",On-site/Hybrid,4-8,"60,000 - 120,000 (Plus Incentives)","Proven sales quota achievement, local and international market knowledge.",2015-Present
43,Ethical Hacker/Penetration Tester,"OWASP Top 10, Network Security Assessment, Exploit Development",Hybrid,3-6,"80,000 - 150,000","OSCP/SANS certification, clean background check.",2021-Present (Growing Demand)
44,Technical Support Engineer (L2/L3),"Deep troubleshooting, Windows Server/Linux Admin, Scripting (PowerShell/Bash)",Remote/Hybrid,4-7,"65,000 - 120,000",Excellent technical communication for global clients.,2018-Present
45,Cloud Security Engineer,"IAM, Security Hub, WAF/CDN, Cloud-native Security Tools",Remote,5-9,"130,000 - 250,000",AWS/Azure Security Specialist certification.,2022-Present (High Value)
46,SEO Specialist (Legacy),"Keyword Research (Basic), On-Page Optimization, Google Algorithm (Basic)",On-site,1-3,"25,000 - 40,000",Experience using simple SEO tools.,2015-2018
47,Growth Hacker/Performance Marketer,"Funnel Optimization, Data Analytics, Experimentation (A/B Testing), Paid Campaigns",Remote/Hybrid,3-6,"60,000 - 110,000",Proven track record of user acquisition/retention.,2020-Present (High Growth)
48,Software Engineering Manager,"Team Leadership, Technical Mentorship, Budget Management, SDLC Oversight",On-site/Hybrid,8+,"180,000 - 350,000+","People management skills, experience scaling a team.",2018-Present
49,Core Banking System (CBS) Specialist,"T24/Flexcube/Finacle knowledge, Financial Domain Expertise, SQL",On-site,5-10,"120,000 - 250,000",Mandatory for large local banks and financial institutions.,2015-Present (Stable Demand)
50,Business Intelligence (BI) Developer,"ETL/ELT Tools (SSIS/Talend), Data Warehouse Design, SQL, Power BI/Tableau",Hybrid,3-6,"70,000 - 130,000","Dimensional Modeling (Kimball/Inmon), attention to data quality.",2018-Present
51,No-Code/Low-Code Developer,"OutSystems/Mendix/Bubble, Rapid Application Development, Integrations",Remote,2-4,"50,000 - 90,000",Focus on business process automation and speed.,2021-Present
52,UX Researcher,"Interviews, Surveys, A/B Testing, Heuristic Evaluation, Statistical Analysis",Remote/Hybrid,3-5,"60,000 - 110,000","Psychology/Cognitive Science background (a plus), detailed report writing.",2021-Present
53,Computer Vision Engineer,"OpenCV, Deep Learning Frameworks (Keras/PyTorch), C++ / Python",Remote,4-7,"110,000 - 220,000",Experience with video processing and real-time systems.,2022-Present (Advanced AI Niche)
54,Desktop Application Developer (Legacy),"C#/.NET Framework, Windows Forms, Basic Database Integration",On-site,2-4,"35,000 - 60,000",Still used in niche local government/small business applications.,2015-2017
55,Customer Success Manager (SaaS),"Client Onboarding, Retention Strategy, Product Advocacy, Communication",Remote,3-6,"70,000 - 130,000",Experience working for a global SaaS product company.,2020-Present (Global Focus)
56,IT Trainer/Instructor,"Subject Matter Expertise (e.g., Python, AWS, Networking), Presentation Skills",Hybrid,5+,"60,000 - 100,000",Certifications in the training subject area.,2015-Present
57,Head of Engineering/CTO,"Technology Strategy, R&D, Team Scaling, P&L Responsibility",On-site/Hybrid,12+,"350,000 - 700,000+",Must have experience leading engineering at a major local or international firm.,2015-Present (Top Tier)
58,FinTech Developer,"Strong security knowledge, Payment Gateway Integration (SSLCOMMERZ, bKash), Go/Rust (a plus)",Hybrid,4-7,"90,000 - 180,000","Regulatory compliance (e.g., Bangladesh Bank guidelines) familiarity.",2019-Present
59,Web3/Smart Contract Auditor,"Solidity, Formal Verification, Bug Bounty Hunting Experience, Cryptoeconomics",Remote,3-6,"150,000 - 300,000+",Deep understanding of security vulnerabilities in decentralized systems.,2023-Present (Highly Specialized)
60,Academic Researcher (ICT),"MATLAB/R, Advanced Statistical Modeling, Research Publication Track Record",On-site/Hybrid,5+,"50,000 - 90,000",PhD or Master's with significant research output.,2015-Present (University/Research Inst.)
61,Data Engineer,"ETL Pipelines (Airflow/Informatica), Python/Scala, Spark, Data Warehousing (Snowflake/Redshift)",Remote/Hybrid,4-7,"100,000 - 190,000","Cloud Data Certifications (e.g., GCP Data Engineer), strong SQL.",2020-Present (High Demand)
62,Performance Test Engineer,"JMeter/Gatling/LoadRunner, Load Modeling, Bottleneck Analysis, Cloud Deployment",Hybrid,3-6,"70,000 - 130,000","Experience with large transaction volumes, CI/CD integration.",2019-Present
63,Senior Frontend Developer,"Advanced React/Vue/Angular, TypeScript, Webpack/Babel, State Management (Zustand/NGRX)",Remote,5-8,"110,000 - 220,000","Focus on scalability, accessibility (A11Y), and performance optimization.",2021-Present
64,Backend Developer (Go/Rust),"Go (Golang) or Rust, Concurrency, gRPC/Protocol Buffers, Database Sharding",Remote,3-6,"90,000 - 180,000",Used primarily in high-performance FinTech or specialized backend services.,2022-Present (Emerging High-Pay)
65,IT Operations Manager,"ITIL V3/V4, Service Desk Management, Vendor Management, Budgeting",On-site/Hybrid,7+,"120,000 - 250,000","Certifications (ITIL Expert), Disaster Recovery Planning (DRP) experience.",2015-Present
66,Telecommunication Network Planner,"GSM/UMTS/LTE/5G Technology, Radio Frequency (RF) Planning, Capacity Management",On-site,4-7,"80,000 - 160,000","Experience with specific vendor equipment (Ericsson, Huawei, Nokia).",2015-Present (Stable Demand)
67,DevSecOps Engineer,"Security Tools Integration (SAST/DAST), Secrets Management, Hardening CI/CD Pipelines",Remote/Hybrid,4-7,"120,000 - 230,000","Cloud security knowledge, experience automating security checks.",2022-Present (Highly Specialized)
68,AI Prompt Engineer,"Advanced NLP/LLM Interaction, Fine-tuning Prompts, Creative Writing, AI APIs",Remote,1-3,"60,000 - 120,000","Deep understanding of Generative AI models (e.g., Gemini, GPT).",2023-Present (Very New Field)
69,"Technical Support Specialist (BPO, Night Shift)","Excellent English Verbal Communication, US Client Time Zone (Night), VoIP Systems",On-site,1-3,"40,000 - 65,000",Prior experience supporting software or hardware products internationally.,2017-Present
70,Business Process Re-engineering (BPR) Consultant,"Process Mapping (BPMN), Six Sigma/Lean Principles, Change Management",On-site/Hybrid,6+,"100,000 - 190,000",Focused on optimizing workflow for large local enterprises/government projects.,2018-Present
71,System Administrator (Basic Linux),"Basic Linux Command Line, Server Maintenance, Shell Scripting, cPanel/WHM",On-site,1-3,"30,000 - 50,000",Focus on local hosting/web server management.,2015-2018
72,Site Reliability Engineer (SRE),"Monitoring/Alerting (Prometheus/Grafana), SLO/SLA Definition, Post-mortem Analysis",Remote/Hybrid,5-8,"130,000 - 250,000","Strong coding background, experience with distributed systems.",2020-Present (High Value)
73,Embedded Linux Developer,"Kernel Programming, Device Drivers, Yocto/Buildroot, Board Support Package (BSP)",On-site/Hybrid,4-7,"90,000 - 170,000","Specific hardware platform expertise (e.g., ARM).",2018-Present
74,Scrum Master (Scaling),"SAFe/LeSS Frameworks, Multiple Team Coordination, Impediment Removal",Hybrid,6+,"110,000 - 210,000","Advanced certification (e.g., Certified SAFe Scrum Master), coaching skills.",2022-Present
75,Cloud Financial Management (FinOps) Specialist,"Cloud Cost Monitoring (Cost Explorer), Budgeting/Forecasting, Resource Tagging",Remote,3-5,"80,000 - 150,000","AWS/Azure/GCP cost management tools, financial background a plus.",2022-Present (Niche Optimization)
76,Data Governance Specialist,"Data Quality Frameworks, Metadata Management, Regulatory Compliance (e.g., GDPR, local laws)",On-site/Hybrid,5-8,"100,000 - 180,000",Focus on establishing standards for data handling in large organizations.,2020-Present
77,Legacy System Migration Specialist,"COBOL/Mainframe/AS400 knowledge, experience moving to cloud-native stacks",On-site/Hybrid,8+,"150,000 - 300,000",Niche role for financial/government sector modernization projects.,2015-Present (Project Based)
78,IT Procurement Officer,"Vendor Negotiation, Contract Management (SLA), Hardware/Software Licensing",On-site,3-6,"50,000 - 90,000","Strong financial and legal acumen, local market vendor knowledge.",2015-Present
79,SEO/SEM Manager,"Advanced Google Ads/Bing Ads, Budget Management, Conversion Rate Optimization (CRO)",Remote/Hybrid,4-7,"80,000 - 160,000",High focus on paid media ROI and analytics.,2019-Present
80,WordPress/CMS Developer,"WordPress/Joomla/Drupal, PHP/MySQL, Theme & Plugin Customization, Security Hardening",Remote/Hybrid,2-4,"40,000 - 75,000",High volume of small to medium enterprise website projects.,2015-Present (Stable Demand)
81,Computer Graphics Programmer (Gaming/Simulation),"OpenGL/Vulkan/DirectX, Shaders (GLSL/HLSL), Geometric Algorithms",Remote,4-7,"100,000 - 200,000","Highly specialized role, strong math and physics background.",2021-Present
82,Client Relationship Manager (Offshore),"Excellent verbal English, Global Client Handling (North America/Europe), Contract Renewals",Remote,5-9,"150,000 - 300,000+","Proven success in growing an offshore portfolio, travel readiness.",2018-Present (Export Focus)
83,Robotic Process Automation (RPA) Developer,"UiPath/Automation Anywhere/Blue Prism, Process Design, Cognitive Automation",Hybrid,3-6,"70,000 - 130,000","Certification in a major RPA tool, experience with enterprise deployment.",2020-Present
84,Telecom BSS/OSS Engineer,"Billing Systems, Inventory Management, Customer Relationship Management (CRM) in Telecom",On-site,5-8,"90,000 - 180,000",Deep knowledge of telecom industry standards and processes.,2015-Present
85,Cloud Migration Specialist,"Cloud Adoption Frameworks, Lift-and-Shift, Refactoring Strategy, TCO Analysis",Remote/Hybrid,6+,"140,000 - 280,000",Experience leading multi-year legacy system migrations.,2021-Present
86,Junior/Trainee Software Engineer,"Basic knowledge of one language (e.g., C/C++, Java/Python), Data Structures & Algorithms",On-site,0-1,"18,000 - 30,000","University/Bootcamp graduate, strong eagerness to learn, high volume entry role.",2015-Present
87,Chief Information Officer (CIO),"IT Strategy, Digital Transformation, Board-level Communication, Large-Scale Budget Oversight",On-site,15+,"400,000 - 800,000+","Executive presence, cross-industry knowledge, proven IT leadership.",2015-Present (Executive Tier)
88,Technical Account Manager (TAM),"Product Expertise, Post-Sales Technical Support, Client Advocacy, Quarterly Business Reviews (QBRs)",Remote,5-8,"120,000 - 240,000",Works closely with sales and engineering to maintain key client satisfaction.,2020-Present
89,Salesforce Consultant (Functional),"Sales Cloud/Service Cloud implementation, Customization, End-user Training",Remote/Hybrid,4-7,"90,000 - 170,000","Admin/Consultant Certifications, strong stakeholder management.",2020-Present
90,E-commerce Platform Engineer,"Magento/Shopify Plus, Scalable Architecture Design, Payment/Shipping API Integration",Hybrid,5-8,"110,000 - 210,000",Focus on high-traffic retail or marketplace environments.,2017-Present
91,Senior Java Developer,"Core Java, J2EE, Servlets, JSP, EJB, WebLogic/JBoss",On-site,6-10,"120,000 - 240,000",Experience with large enterprise systems and scalability.,2015-2020
92,Full-Stack Developer (Ruby on Rails),"Ruby, Rails Framework, PostgreSQL, TDD/BDD, Deployment (Heroku/DigitalOcean)",Remote/Hybrid,3-6,"80,000 - 150,000",High demand in specific product-based startups and outsourcing firms.,2016-Present
93,e-Commerce Data Analyst,"Google Analytics 4, Funnel Analysis, A/B Testing, SQL, e-Commerce KPIs (AOV, Conversion Rate)",Hybrid,3-5,"60,000 - 110,000","Experience with specific e-commerce platforms (e.g., Magento).",2020-Present
94,IT Security Administrator,"Active Directory, Endpoint Protection (Antivirus), Patch Management, Basic Firewall Rules",On-site,2-4,"45,000 - 80,000",Focus on internal corporate security infrastructure.,2015-Present
95,SharePoint Developer (Legacy),"SharePoint Designer, InfoPath, Workflow development",On-site,3-5,"60,000 - 100,000",Used in older government and large corporate environments.,2015-2017
96,SharePoint Online / M365 Developer,"Power Platform (Automate/Apps), PowerShell, Azure AD, SharePoint Framework (SPFx)",Hybrid/Remote,4-7,"90,000 - 180,000",Modern collaboration and internal enterprise solutions.,2020-Present
97,Junior Web Designer,"HTML, CSS, Bootstrap, Basic Photoshop, PSD to HTML Conversion",On-site,0-2,"20,000 - 35,000",Fresh graduate entry-level role.,2015-2018
98,Senior Data Scientist (Deep Learning),"TensorFlow/PyTorch, CNNs/RNNs/Transformers, Cloud ML services, Publication record",Remote,6+,"180,000 - 350,000+","Research-focused, requires strong mathematical background and domain expertise.",2022-Present
99,AWS Cloud Engineer (Solutions),"EC2, S3, RDS, VPC Networking, CloudFormation/Terraform",Remote/Hybrid,3-6,"80,000 - 160,000",AWS Certified Solutions Architect - Associate minimum.,2020-Present
100,Azure Cloud Engineer (DevOps Focus),"Azure DevOps, ARM Templates/Bicep, Azure Functions, Azure Kubernetes Service (AKS)",Remote/Hybrid,3-6,"80,000 - 160,000",Azure Administrator/Developer Certification.,2020-Present
101,System Analyst,"Requirements Analysis, System Design, ER Diagrams, Database Normalization",On-site/Hybrid,5-8,"80,000 - 150,000",Bridging role between business and technical teams.,2015-Present
102,Technical Lead (Team Lead),"Code Review, Mentorship, Architectural Decision Making, Project Management Basics",Hybrid,6-10,"130,000 - 280,000","Strong technical expertise in a specific stack (e.g., Python, Java, .NET).",2018-Present
103,Junior QA (Automation),"Scripting basics, introduction to Selenium/Cypress, Python/Java fundamentals",On-site/Hybrid,1-2,"40,000 - 65,000",Transition point for manual testers or fresh graduates.,2020-Present
104,Content Writer (Tech Focus),"SEO Writing, Blog Posts, Case Studies, Excellent English Grammar/Style",Remote,2-4,"40,000 - 70,000",Ability to understand complex technical topics quickly.,2018-Present
105,Video Conferencing & Collaboration Specialist,"Microsoft Teams/Zoom Administration, Audio/Visual Setup, Troubleshooting, Training",On-site/Hybrid,3-5,"50,000 - 90,000",High demand post-pandemic for internal enterprise support.,2020-Present
106,Blockchain Smart Contract Developer (Rust/Substrate),"Polkadot/NEAR/Solana ecosystem, Advanced Cryptography, Token Standards",Remote,4-7,"150,000 - 350,000+","Highly specialized and niche, often working for foreign firms.",2023-Present
107,Mid-Level .NET Developer,"ASP.NET MVC/Web Forms, C#, SQL Server, IIS Hosting",On-site/Hybrid,3-5,"55,000 - 95,000","Used heavily in local banking, telecom, and government projects.",2015-2020
108,Senior .NET Core Developer,".NET Core/5+, C#, Azure/AWS deployment, Microservices, Docker",Remote/Hybrid,5-8,"100,000 - 190,000",Modernization projects and new product development.,2019-Present
109,Technical Recruiter (IT),"Knowledge of IT roles/skills (e.g., Java vs. JavaScript), Boolean Search, Headhunting",Remote/Hybrid,2-5,"50,000 - 90,000",Focus on talent acquisition for fast-growing IT/ITES firms.,2018-Present
110,Business Development Executive (Local IT),"Lead Generation, Cold Calling, Proposal Writing (Bangla/English), Local Market Networking",On-site,1-3,"30,000 - 50,000 (Plus Target Commission)",Focus on winning local SME and corporate projects.,2015-Present
111,Information Security Officer (ISO),"Policy Formulation, Risk Assessment, Regulatory Compliance (BGD laws), Audits",On-site,8+,"150,000 - 300,000",Mandatory compliance role in banks and financial institutions.,2017-Present
112,GIS Developer,"ArcGIS/QGIS, Python (GeoPandas), Spatial Databases (PostGIS), Web Mapping Libraries (Leaflet/Mapbox)",Hybrid,3-6,"60,000 - 120,000","Government, Urban Planning, and Telecom sector demand.",2016-Present
113,Cloud Architect (GCP),"Compute Engine, BigQuery, Cloud Functions, Kubernetes Engine (GKE), Security",Remote/Hybrid,5-9,"140,000 - 260,000",GCP Professional Cloud Architect certification.,2021-Present (Growing Niche)
114,Mid-Level Python Developer (Web),"Django/Flask, RESTful APIs, SQLAlchemy/Django ORM, Celery",Remote/Hybrid,2-4,"50,000 - 90,000","General purpose development role, high demand in startups.",2017-Present
115,Telecom BSS/OSS Architect,"Solution Design, Integration of different BSS/OSS components, Vendor Management",On-site,10+,"200,000 - 450,000",Senior role within Mobile Network Operators (MNOs).,2015-Present
116,Product Designer (Mid-level),"Figma, Interaction Design, Usability Testing, A/B Test Interpretation",Remote/Hybrid,3-6,"70,000 - 130,000",Focus on improving key product metrics through design.,2020-Present
117,Senior Hardware Engineer (Server/Data Center),"Server Racks, UPS/Cooling Systems, Cable Management, Cisco UCS/Dell PowerEdge",On-site,6-10,"100,000 - 190,000",Data center maintenance and scaling for large ISPs/Corps.,2015-Present
118,IT Project Coordinator,"Scheduling, Resource Allocation, Meeting Management, Communication Flow",On-site,2-4,"40,000 - 75,000",Supports the Project Manager in administrative tasks.,2015-Present
119,Technical SEO Specialist,"Core Web Vitals, Schema Markup, XML Sitemaps, Log File Analysis, JavaScript SEO",Remote,3-6,"60,000 - 110,000",Focus on the technical health of large-scale websites.,2020-Present
120,Business Intelligence Manager,"Team Leadership, BI Strategy, Stakeholder Reporting, Data Governance Oversight",Hybrid,7+,"140,000 - 280,000",Experience building and leading a BI/Data team.,2019-Present
121,Angular Developer (Enterprise Focus),"Angular 10+, RxJS, NgRx/State Management, Large-Scale Application Architecture",Remote/Hybrid,4-7,"90,000 - 170,000","Used in complex, long-term enterprise software projects.",2018-Present
122,Desktop Support Technician (Field),"On-site troubleshooting (PC/Printer), Asset Management, Local Travel required",On-site,1-3,"30,000 - 45,000",Mobility and quick problem resolution skills.,2015-Present
123,Network Security Engineer,"IDS/IPS, VPN, Endpoint Detection and Response (EDR), Security Policy Implementation",On-site/Hybrid,4-7,"80,000 - 160,000",Fortinet/Palo Alto/Cisco security certifications.,2018-Present
124,Computer Vision/Image Processing Analyst,"Python, MATLAB, Deep Learning, Medical Imaging/Satellite Imagery experience",Remote,3-6,"90,000 - 170,000",Niche role in R&D or specific industry applications.,2021-Present
125,IT Procurement Manager,"Strategic Sourcing, Budgeting, Contract Negotiation (Global Vendors), Team Leadership",On-site,6+,"110,000 - 220,000",Focus on cost-saving and efficiency in hardware/software licensing.,2017-Present
126,AI Research Scientist,"ML/DL Theory, Experiment Design, Scientific Publication, Advanced Python/R",Remote,5+ (or PhD),"180,000 - 400,000+",Requires Ph.D. or extensive high-impact research experience.,2023-Present (Elite Role)
127,E-commerce Operations Manager,"Warehouse Management Systems (WMS), Logistics Optimization (Last-mile), Inventory Control",On-site,5-8,"80,000 - 150,000",Crucial role for local e-commerce and retail tech.,2018-Present
128,Technical Sales Engineer,"Product Demos, Technical Presentation, Proposal Writing, Bridging Sales and Tech Teams",On-site/Hybrid,4-7,"70,000 - 130,000 (Plus Bonus)",Deep understanding of the product/service being sold.,2016-Present
129,UNIX/Solaris Admin (Legacy),"Shell Scripting, Solaris OS, Basic Networking, High Availability setup",On-site,5-10,"100,000 - 180,000","Very niche, still present in some high-security legacy bank systems.",2015-2017
130,Business Continuity & Disaster Recovery Specialist,"BCP/DRP Documentation, Failover Testing, RTO/RPO Planning, Regulatory Adherence",On-site/Hybrid,5-8,"90,000 - 170,000",Mandatory for large financial and telecom companies.,2017-Present
131,Salesforce Marketing Cloud Specialist,"Journey Builder, Automation Studio, Ampscript, Data Extensions",Remote/Hybrid,3-5,"80,000 - 160,000",Highly sought-after skill for CRM and digital marketing integration.,2021-Present
132,Full-Stack Developer (Vue.js),"Vue.js, Vuex/Pinia, Node.js/Express, API integration",Remote/Hybrid,3-5,"65,000 - 120,000",Common in startups due to Vue's ease of use and learning curve.,2018-Present
133,Technical Support Agent (Bangla/Local Language),"Phone/Chat Support, Local Software Troubleshooting, Non-English Communication",On-site,0-2,"20,000 - 35,000",Support for local SaaS or hardware products.,2015-Present
134,Senior QA (End-to-End Testing),"Test Strategy, Test Planning, Environment Setup, UAT Coordination, Selenium/Cypress",Hybrid,5-8,"90,000 - 170,000",Focus on overall quality and release management.,2018-Present
